Time (s);Electrode;Attention;Meditation;Sampling Rate
1.210938;215.000000;43.000000;75.000000;
1.212891;232.000000;43.000000;75.000000;
1.214844;260.000000;43.000000;75.000000;
1.216797;281.000000;43.000000;75.000000;
1.218750;292.000000;43.000000;75.000000;
1.220703;291.000000;43.000000;75.000000;
1.222656;279.000000;43.000000;75.000000;
1.224609;242.000000;43.000000;75.000000;
1.226563;183.000000;43.000000;75.000000;
1.228516;153.000000;43.000000;75.000000;
1.230469;116.000000;43.000000;75.000000;
1.232422;51.000000;43.000000;75.000000;
1.234375;38.000000;43.000000;75.000000;
1.236328;90.000000;43.000000;75.000000;
1.238281;131.000000;43.000000;75.000000;
1.240234;103.000000;43.000000;75.000000;
1.242188;48.000000;43.000000;75.000000;
1.244141;21.000000;43.000000;75.000000;
1.246094;40.000000;43.000000;75.000000;
1.248047;83.000000;43.000000;75.000000;
1.250000;76.000000;43.000000;75.000000;
1.251953;-9.000000;43.000000;75.000000;
1.253906;-77.000000;43.000000;75.000000;
1.255859;-53.000000;43.000000;75.000000;
1.257813;-36.000000;43.000000;75.000000;
1.259766;-86.000000;43.000000;75.000000;
1.261719;-148.000000;43.000000;75.000000;
1.263672;-177.000000;43.000000;75.000000;
1.265625;-214.000000;43.000000;75.000000;
1.267578;-226.000000;43.000000;75.000000;
1.269531;-210.000000;43.000000;75.000000;
1.271484;-193.000000;43.000000;75.000000;
1.273438;-140.000000;43.000000;75.000000;
1.275391;-67.000000;43.000000;75.000000;
1.277344;-35.000000;43.000000;75.000000;
1.279297;-26.000000;43.000000;75.000000;
1.281250;-74.000000;43.000000;75.000000;
1.283203;-122.000000;43.000000;75.000000;
1.285156;-157.000000;43.000000;75.000000;
1.287109;-183.000000;43.000000;75.000000;
1.289063;-244.000000;43.000000;75.000000;
1.291016;-329.000000;43.000000;75.000000;
1.292969;-370.000000;43.000000;75.000000;
1.294922;-342.000000;43.000000;75.000000;
1.296875;-268.000000;43.000000;75.000000;
1.298828;-188.000000;43.000000;75.000000;
1.300781;-151.000000;43.000000;75.000000;
1.302734;-189.000000;43.000000;75.000000;
1.304688;-215.000000;43.000000;75.000000;
1.306641;-186.000000;43.000000;75.000000;
1.308594;-171.000000;43.000000;75.000000;
1.310547;-196.000000;43.000000;75.000000;
1.312500;-213.000000;43.000000;75.000000;
1.314453;-200.000000;43.000000;75.000000;
1.316406;-193.000000;43.000000;75.000000;
1.318359;-194.000000;43.000000;75.000000;
1.320313;-186.000000;43.000000;75.000000;
1.322266;-149.000000;43.000000;75.000000;
1.324219;-94.000000;43.000000;75.000000;
1.326172;-78.000000;43.000000;75.000000;
1.328125;-136.000000;43.000000;75.000000;
1.330078;-168.000000;43.000000;75.000000;
1.332031;-133.000000;43.000000;75.000000;
1.333984;-67.000000;43.000000;75.000000;
1.335938;-12.000000;43.000000;75.000000;
1.337891;-9.000000;43.000000;75.000000;
