Time, Battery, PoorSignal, Attention, Meditation, Raw, Delta, Theta, lowAlpha, highAlpha, lowBeta, highBeta, lowGamma, highGamma, Blink,
21:46:22.000618,0,0,97,78,54,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000619,0,0,97,78,54,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000625,0,0,97,78,67,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000626,0,0,97,78,81,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000627,0,0,97,78,74,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000628,0,0,97,78,49,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000629,0,0,97,78,34,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000633,0,0,97,78,35,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000634,0,0,97,78,44,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000635,0,0,97,78,59,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000636,0,0,97,78,58,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000642,0,0,97,78,41,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000643,0,0,97,78,25,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000644,0,0,97,78,20,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000645,0,0,97,78,29,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000646,0,0,97,78,44,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000651,0,0,97,78,59,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000652,0,0,97,78,81,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000653,0,0,97,78,85,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000654,0,0,97,78,84,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000660,0,0,97,78,87,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000661,0,0,97,78,90,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000662,0,0,97,78,85,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000663,0,0,97,78,85,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000664,0,0,97,78,101,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000668,0,0,97,78,113,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000669,0,0,97,78,114,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000670,0,0,97,78,119,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000671,0,0,97,78,117,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000677,0,0,97,78,114,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000678,0,0,97,78,128,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000679,0,0,97,78,147,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000680,0,0,97,78,165,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000681,0,0,97,78,156,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000686,0,0,97,78,125,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000687,0,0,97,78,115,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000688,0,0,97,78,112,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000689,0,0,97,78,116,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000695,0,0,97,78,124,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000696,0,0,97,78,116,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000697,0,0,97,78,86,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000698,0,0,97,78,74,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000699,0,0,97,78,93,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000703,0,0,97,78,101,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000704,0,0,97,78,83,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000705,0,0,97,78,64,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000706,0,0,97,78,72,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000712,0,0,97,78,88,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000713,0,0,97,78,87,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000714,0,0,97,78,81,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000715,0,0,97,78,80,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000716,0,0,97,78,83,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000721,0,0,97,78,101,5141,6785,7642,1452,6873,3585,4052,1898,46,
21:46:22.000722,0,0,97,78,117,5141,6785,7642,1452,6873,3585,4052,1898,46,
